iter	Passed	Remaining
0	51	51910
1	52	26340
2	53	17783
3	54	13488
4	54	10926
5	55	9218
6	56	7993
7	56	7062
8	57	6337
9	59	5862
10	60	5395
11	60	5001
12	61	4682
13	62	4407
14	63	4160
15	64	3941
16	64	3742
17	65	3566
18	66	3411
19	66	3272
20	67	3145
21	68	3033
22	69	2931
23	69	2833
24	70	2739
25	70	2651
26	71	2571
27	71	2498
28	72	2432
29	73	2370
30	74	2316
31	74	2262
32	75	2212
33	76	2166
34	76	2120
35	77	2074
36	78	2032
37	78	1992
38	79	1951
39	79	1913
40	80	1878
41	80	1844
42	81	1811
43	81	1779
44	82	1750
45	83	1723
46	83	1695
47	84	1667
48	84	1641
49	85	1615
50	85	1591
51	85	1567
52	86	1543
53	86	1522
54	87	1506
55	88	1490
56	89	1473
57	89	1458
58	90	1449
59	91	1435
60	92	1419
61	92	1403
62	93	1387
63	93	1373
64	94	1359
65	94	1344
66	95	1330
67	95	1313
68	96	1300
69	97	1295
70	98	1289
71	99	1279
72	100	1269
73	100	1259
74	101	1248
75	101	1238
76	102	1229
77	103	1221
78	103	1212
79	104	1203
80	105	1195
81	105	1185
82	106	1175
83	107	1167
84	107	1157
85	108	1148
86	108	1137
87	108	1129
88	109	1120
89	110	1112
90	110	1104
91	111	1096
92	111	1090
93	112	1084
94	113	1077
95	113	1070
96	114	1063
97	114	1057
98	115	1053
99	116	1048
100	117	1042
101	117	1034
102	118	1029
103	119	1029
104	120	1023
105	120	1020
106	121	1016
107	122	1010
108	123	1005
109	123	1000
110	124	994
111	124	989
112	125	983
113	125	978
114	126	973
115	126	967
116	127	962
117	128	957
118	128	951
119	128	945
120	129	941
121	130	938
122	130	931
123	131	926
124	131	921
125	132	916
126	132	913
127	133	907
128	134	908
129	135	904
130	135	900
131	136	898
132	137	893
133	138	892
134	138	889
135	139	886
136	140	881
137	140	877
138	141	873
139	141	870
140	142	870
141	143	869
142	144	868
143	145	865
144	146	861
145	146	858
146	147	854
147	147	851
148	148	848
149	149	844
150	149	841
151	150	837
152	150	834
153	151	830
154	151	826
155	152	822
156	152	818
157	152	814
158	153	811
159	153	807
160	154	804
161	154	801
162	155	797
163	156	796
164	156	793
165	157	790
166	157	787
167	158	784
168	158	781
169	159	777
170	159	775
171	160	773
172	161	771
173	162	771
174	163	773
175	165	773
176	166	772
177	167	773
178	168	773
179	169	771
180	169	768
181	170	766
182	171	764
183	172	763
184	173	763
185	174	762
186	175	761
187	176	760
188	177	759
189	177	758
190	179	758
191	179	756
192	180	754
193	181	753
194	182	751
195	182	750
196	183	748
197	184	746
198	184	744
199	185	741
200	186	739
201	186	737
202	187	736
203	188	733
204	188	732
205	189	732
206	190	729
207	190	727
208	191	724
209	191	721
210	192	719
211	192	716
212	193	714
213	193	711
214	194	710
215	195	707
216	195	705
217	196	704
218	196	701
219	197	698
220	197	696
221	198	693
222	198	691
223	199	689
224	199	687
225	200	685
226	200	684
227	201	682
228	202	680
